Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\UZ_A_ADS5272\Project Outputs for UltraZohm_Analog_ADS5272\Pick Place\PickPlace_UltraZohm_Analog_ADS5272_3v01.txt

========================================================================================================================
File Design Information:

Date:       06.05.21
Time:       10:14
Revision:   9ecd2dc5ae1c4eb981d1dd545493f6c32bbad710
Variant:    SMD_Assembly
Units used: mm

Designator  Footprint                      Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                      
C28         CAP_0603                       43.3832      51.1190      43.3832   51.8190   43.3832   51.8190   360      TopLayer    100nF                        
C27         CAP_0603                       45.5422      54.6291      45.5422   53.9291   45.5422   53.9291   180      TopLayer    2.2µF                        
C26         CAP_0603                       45.3390      51.1160      45.3390   51.8160   45.3390   51.8160   0        TopLayer    2.2µF                        
C25         CAP_0603                       18.0452      52.6591      18.7452   52.6591   18.7452   52.6591   270      TopLayer    100nF                        
C24         CAP_0603                       18.0452      57.7391      18.7452   57.7391   18.7452   57.7391   270      TopLayer    100nF                        
C23         CAP_0603                       37.6062      56.9771      36.9062   56.9771   36.9062   56.9771   90       TopLayer    100nF                        
C22         CAP_0603                       37.6032      55.1991      36.9032   55.1991   36.9032   55.1991   90       TopLayer    100nF                        
C21         CAP_0603                       36.7792      49.9271      36.7792   50.6271   36.7792   50.6271   360      TopLayer    100nF                        
C20         CAP_0603                       32.9692      45.3551      32.9692   46.0551   32.9692   46.0551   360      TopLayer    100nF                        
C19         CAP_0603                       29.3497      45.3551      29.3497   46.0551   29.3497   46.0551   360      TopLayer    100nF                        
C18         CAP_0603                       25.7302      45.3551      25.7302   46.0551   25.7302   46.0551   360      TopLayer    100nF                        
C17         CAP_0603                       25.7302      64.7891      25.7302   64.0891   25.7302   64.0891   180      TopLayer    100nF                        
C16         CAP_0603                       29.3497      64.7891      29.3497   64.0891   29.3497   64.0891   180      TopLayer    100nF                        
C15         CAP_0603                       32.9692      64.7891      32.9692   64.0891   32.9692   64.0891   180      TopLayer    100nF                        
R89         RES_0603                       5.3020       91.9750      5.3020    91.1750   5.3020    91.1750   180      TopLayer    20k                          
D3          WL-SMCW_0603_H=0.7MM           5.3340       4.5720       5.3340    4.5720    5.3340    3.7720    90       TopLayer    +1.8V                        
D2          WL-SMCW_0603_H=0.7MM           10.1220      91.9250      10.1220   91.9250   10.1220   91.1250   90       TopLayer    VCC                          
D1          WL-SMCW_0603_H=0.7MM           3.3020       92.0750      3.3020    92.0750   3.3020    91.2750   90       TopLayer    VIN                          
R83         RES_0603                       57.4420      38.2270      58.2420   38.2270   58.2420   38.2270   270      TopLayer    10k                          
R82         RES_0603                       57.4420      42.6720      58.2420   42.6720   58.2420   42.6720   270      TopLayer    10k                          
R81         RES_0603                       46.6980      43.0530      45.8980   43.0530   45.8980   43.0530   90       TopLayer    10k                          
R80         RES_0603                       46.6980      38.2270      45.8980   38.2270   45.8980   38.2270   90       TopLayer    10k                          
R75         RES_0603                       70.5230      72.5170      69.7230   72.5170   69.7230   72.5170   90       TopLayer    10k                          
R74         RES_0603                       70.6500      67.9450      69.8500   67.9450   69.8500   67.9450   90       TopLayer    10k                          
R73         RES_0603                       81.2420      67.9450      82.0420   67.9450   82.0420   67.9450   270      TopLayer    10k                          
R56         RES_0603                       81.2420      72.5170      82.0420   72.5170   82.0420   72.5170   270      TopLayer    10k                          
R2          RES_0603                       19.4818      30.0864      19.4818   30.8864   19.4818   30.8864   360      TopLayer    2.2k                         
R1          RES_0603                       21.2598      30.0864      21.2598   30.8864   21.2598   30.8864   360      TopLayer    2.2k                         
POT1        TSSO6X6-G20/D6.6               75.8660      70.2350      75.8660   70.2350   73.0160   73.1600   270      TopLayer    X95840_                      
C59         CAP_0603                       47.2440      40.7020      47.2440   40.0020   47.2440   40.0020   180      TopLayer    100nF                        
C10         CAP_0603                       80.6450      70.1660      80.6450   70.8660   80.6450   70.8660   360      TopLayer    100nF                        
U7H         8-MSOP                         97.2491      18.7889      97.2440   18.7440   99.2941   17.8139   180      TopLayer    uMAX962                      
U7G         8-MSOP                         74.3891      19.1699      74.3840   19.1250   76.4341   18.1949   180      TopLayer    uMAX962                      
U7F         8-MSOP                         58.8711      26.3990      58.8660   26.3540   60.9161   25.4240   180      TopLayer    uMAX962                      
U7E         8-MSOP                         74.0461      39.4150      74.0410   39.3700   76.0911   38.4400   180      TopLayer    uMAX962                      
U7D         8-MSOP                         55.2141      67.8356      55.2090   67.7907   57.2591   66.8606   180      TopLayer    uMAX962                      
U7B         8-MSOP                         75.7861      83.9399      75.7810   83.8950   77.8311   82.9649   180      TopLayer    uMAX962                      
U7A         8-MSOP                         97.5321      77.6270      97.5270   77.5820   99.5771   76.6520   180      TopLayer    uMAX962                      
U6H         SOT-353                        92.4180      19.1250      92.4180   19.1250   93.4430   18.4750   360      TopLayer    MC74VHC1G00DFT1              
U6G         SOT-353                        69.5580      19.5060      69.5580   19.5060   70.5830   18.8560   360      TopLayer    MC74VHC1G00DFT1              
U6F         SOT-353                        54.0400      26.7350      54.0400   26.7350   55.0650   26.0850   360      TopLayer    MC74VHC1G00DFT1              
U6E         SOT-353                        69.2150      39.7510      69.2150   39.7510   70.2400   39.1010   360      TopLayer    MC74VHC1G00DFT1              
U6D         SOT-353                        50.3830      68.1717      50.3830   68.1717   51.4080   67.5217   360      TopLayer    MC74VHC1G00DFT1              
U6C         SOT-353                        50.3830      84.1190      50.3830   84.1190   51.4080   83.4690   360      TopLayer    MC74VHC1G00DFT1              
U6B         SOT-353                        70.9550      84.2760      70.9550   84.2760   71.9800   83.6260   360      TopLayer    MC74VHC1G00DFT1              
U6A         SOT-353                        92.7010      77.9630      92.7010   77.9630   93.7260   77.3130   360      TopLayer    MC74VHC1G00DFT1              
U4H         TSSO5X6-G14/X.3                97.7710      23.2710      97.7710   23.2710   100.5460  21.3210   90       TopLayer    OPA4344                      
U4G         TSSO5X6-G14/X.3                74.9110      23.6520      74.9110   23.6520   77.6860   21.7020   90       TopLayer    OPA4344                      
U4F         TSSO5X6-G14/X.3                59.3930      30.8810      59.3930   30.8810   62.1680   28.9310   90       TopLayer    OPA4344                      
U4E         TSSO5X6-G14/X.3                74.5680      43.8970      74.5680   43.8970   77.3430   41.9470   90       TopLayer    OPA4344                      
